Case_ID,Case_Title,Crime_Type,Description,Location,Date,Keywords,Evidence_Summary,Evidence_Count,Status,Priority,FIR_Text,Suspect_Count
C019,Wadi Roadside Robbery,Robbery,An individual reported being threatened by an unknown person who took a mobile phone.,Wadi,2025-05-25,"robbery, wadi, investigation, evidence",Victim statement; Recovered personal item; Eyewitness statement,3,Under Investigation,Open,The complainant reported a robbery incident at Wadi on 2025-05-25. An individual reported being threatened by an unknown person who took a mobile phone.,1
C020,Koradi Road Online Payment Fraud,Fraud,A victim was contacted through a fraudulent investment offer and transferred money.,Koradi Road,2025-06-01,"fraud, koradi road, investigation, evidence",Email or chat records; Bank statement,2,Closed,Closed,The complainant reported a fraud incident at Koradi Road on 2025-06-01. A victim was contacted through a fraudulent investment offer and transferred money.,2
C021,Ajni Public Place Assault,Assault,The complainant reported an assault following a dispute near a market.,Ajni,2025-06-08,"assault, ajni, investigation, evidence",Photographs of injuries; Medical report; Recovered object,3,Under Investigation,Open,The complainant reported a assault incident at Ajni on 2025-06-08. The complainant reported an assault following a dispute near a market.,1
C022,Besa Residential Burglary,Burglary,Unknown persons entered a residence during the owner's absence and removed valuables.,Besa,2025-06-15,"burglary, besa, investigation, evidence",Neighbour statement; CCTV footage; Fingerprint evidence,3,Under Investigation,Critical,The complainant reported a burglary incident at Besa on 2025-06-15. Unknown persons entered a residence during the owner's absence and removed valuables.,3
C023,Seminary Hills Chain Snatching,Chain Snatching,A gold chain was forcibly taken from a person near a busy road.,Seminary Hills,2025-06-22,"chain snatching, seminary hills, investigation, evidence",No evidence logged yet,0,Under Investigation,Open,The complainant reported a chain snatching incident at Seminary Hills on 2025-06-22. A gold chain was forcibly taken from a person near a busy road.,3
C024,Khamla Online Account Crime,Cybercrime,A fake social media account was created using the victim's information.,Khamla,2025-06-29,"cybercrime, khamla, investigation, evidence",Message or email records; Victim statement; Login/activity records,3,Under Investigation,Open,The complainant reported a cybercrime incident at Khamla on 2025-06-29. A fake social media account was created using the victim's information.,0
C025,Narendra Nagar Mobile Phone Theft,Theft,A mobile phone was reported stolen from a crowded public area.,Narendra Nagar,2025-07-06,"theft, narendra nagar, investigation, evidence",Nearby camera still image; Victim statement; Stolen item identification details,3,Closed,Closed,The complainant reported a theft incident at Narendra Nagar on 2025-07-06. A mobile phone was reported stolen from a crowded public area.,1
C026,Medical Square Motorcycle Theft,Vehicle Theft,A scooter was reported missing from a residential parking area.,Medical Square,2025-07-13,"vehicle theft, medical square, investigation, evidence",Recovered vehicle photograph,1,Under Investigation,Open,The complainant reported a vehicle theft incident at Medical Square on 2025-07-13. A scooter was reported missing from a residential parking area.,1
C027,Kamptee Road Roadside Robbery,Robbery,An unknown person threatened the complainant and took a bag containing personal belongings.,Kamptee Road,2025-07-20,"robbery, kamptee road, investigation, evidence",CCTV footage; Recovered personal item; Eyewitness statement,3,Under Investigation,Open,The complainant reported a robbery incident at Kamptee Road on 2025-07-20. An unknown person threatened the complainant and took a bag containing personal belongings.,1
C028,Ganeshpeth Online Payment Fraud,Fraud,A victim was deceived through a fake online payment request and lost money.,Ganeshpeth,2025-07-27,"fraud, ganeshpeth, investigation, evidence",Email or chat records; Victim statement,2,Under Investigation,Open,The complainant reported a fraud incident at Ganeshpeth on 2025-07-27. A victim was deceived through a fake online payment request and lost money.,0
C029,Chhatrapati Square Public Place Assault,Assault,A physical confrontation occurred near a public place and resulted in minor injuries.,Chhatrapati Square,2025-08-03,"assault, chhatrapati square, investigation, evidence",Photographs of injuries; CCTV footage; Recovered object; Medical report,4,Under Investigation,Open,The complainant reported a assault incident at Chhatrapati Square on 2025-08-03. A physical confrontation occurred near a public place and resulted in minor injuries.,1
C030,Manewada Residential Burglary,Burglary,A residential property was entered without permission and household items were stolen.,Manewada,2025-08-10,"burglary, manewada, investigation, evidence",CCTV footage; Recovered property details,2,Closed,Closed,The complainant reported a burglary incident at Manewada on 2025-08-10. A residential property was entered without permission and household items were stolen.,2
C031,Shankar Nagar Chain Snatching,Chain Snatching,A pedestrian reported that an unknown motorcycle rider snatched a chain.,Shankar Nagar,2025-08-17,"chain snatching, shankar nagar, investigation, evidence",Victim statement; Recovered chain photograph,2,Under Investigation,Open,The complainant reported a chain snatching incident at Shankar Nagar on 2025-08-17. A pedestrian reported that an unknown motorcycle rider snatched a chain.,1
C032,Telankhedi Online Account Crime,Cybercrime,A fraudulent link was used to obtain personal or banking information.,Telankhedi,2025-08-24,"cybercrime, telankhedi, investigation, evidence",Transaction records; IP/session information; Login/activity records,3,Under Investigation,Open,The complainant reported a cybercrime incident at Telankhedi on 2025-08-24. A fraudulent link was used to obtain personal or banking information.,2
C033,Chhaoni Mobile Phone Theft,Theft,A wallet containing cash and identification documents was reported stolen.,Chhaoni,2025-08-31,"theft, chhaoni, investigation, evidence",Witness statement; Stolen item identification details,2,Under Investigation,Critical,The complainant reported a theft incident at Chhaoni on 2025-08-31. A wallet containing cash and identification documents was reported stolen.,1
C034,Indora Motorcycle Theft,Vehicle Theft,A motorcycle was reported stolen from a parking area during evening hours.,Indora,2025-09-07,"vehicle theft, indora, investigation, evidence",CCTV footage; Vehicle tracking record,2,Under Investigation,Open,The complainant reported a vehicle theft incident at Indora on 2025-09-07. A motorcycle was reported stolen from a parking area during evening hours.,2
C035,Dabha Roadside Robbery,Robbery,A person was threatened and their wallet was taken near a roadside location.,Dabha,2025-09-14,"robbery, dabha, investigation, evidence",Victim statement; CCTV footage; Eyewitness statement,3,Closed,Closed,The complainant reported a robbery incident at Dabha on 2025-09-14. A person was threatened and their wallet was taken near a roadside location.,2
C036,Bharat Nagar Online Payment Fraud,Fraud,A victim was deceived by a fake customer-care representative and made a payment.,Bharat Nagar,2025-09-21,"fraud, bharat nagar, investigation, evidence",Screenshots of messages; Email or chat records; Bank statement; Transaction record,4,Under Investigation,Open,The complainant reported a fraud incident at Bharat Nagar on 2025-09-21. A victim was deceived by a fake customer-care representative and made a payment.,1
C037,Katol Road Public Place Assault,Assault,An individual reported being physically assaulted following an argument.,Katol Road,2025-09-28,"assault, katol road, investigation, evidence",Recovered object; Medical report; CCTV footage; Witness statement,4,Under Investigation,Open,The complainant reported a assault incident at Katol Road on 2025-09-28. An individual reported being physically assaulted following an argument.,1
C038,Bhande Plot Residential Burglary,Burglary,A house was entered through a rear door and electronic items were reported missing.,Bhande Plot,2025-10-05,"burglary, bhande plot, investigation, evidence",CCTV footage; Footprint examination,2,Under Investigation,Open,The complainant reported a burglary incident at Bhande Plot on 2025-10-05. A house was entered through a rear door and electronic items were reported missing.,1
C039,Mominpura Chain Snatching,Chain Snatching,An unknown person snatched a chain while passing the pedestrian.,Mominpura,2025-10-12,"chain snatching, mominpura, investigation, evidence",Victim statement; Recovered chain photograph,2,Under Investigation,Open,The complainant reported a chain snatching incident at Mominpura on 2025-10-12. An unknown person snatched a chain while passing the pedestrian.,2
C040,Vayusena Nagar Online Account Crime,Cybercrime,A victim reported unauthorized access to an online account.,Vayusena Nagar,2025-10-19,"cybercrime, vayusena nagar, investigation, evidence",Login/activity records; Message or email records,2,Closed,Closed,The complainant reported a cybercrime incident at Vayusena Nagar on 2025-10-19. A victim reported unauthorized access to an online account.,2
C041,Lakshmi Nagar Mobile Phone Theft,Theft,A laptop bag containing electronic items was reported missing from a workplace.,Lakshmi Nagar,2025-10-26,"theft, lakshmi nagar, investigation, evidence",Witness statement; Stolen item identification details,2,Under Investigation,Open,The complainant reported a theft incident at Lakshmi Nagar on 2025-10-26. A laptop bag containing electronic items was reported missing from a workplace.,1
C042,Pardi Motorcycle Theft,Vehicle Theft,A motorcycle was stolen from outside a commercial building.,Pardi,2025-11-02,"vehicle theft, pardi, investigation, evidence",CCTV footage; Vehicle tracking record,2,Under Investigation,Open,The complainant reported a vehicle theft incident at Pardi on 2025-11-02. A motorcycle was stolen from outside a commercial building.,0
C043,Gandhibagh Roadside Robbery,Robbery,An individual reported being threatened by an unknown person who took a mobile phone.,Gandhibagh,2025-11-09,"robbery, gandhibagh, investigation, evidence",Victim statement; CCTV footage,2,Under Investigation,Open,The complainant reported a robbery incident at Gandhibagh on 2025-11-09. An individual reported being threatened by an unknown person who took a mobile phone.,1
C044,Shanti Nagar Online Payment Fraud,Fraud,A victim was contacted through a fraudulent investment offer and transferred money.,Shanti Nagar,2025-11-16,"fraud, shanti nagar, investigation, evidence",Victim statement; Screenshots of messages,2,Under Investigation,Critical,The complainant reported a fraud incident at Shanti Nagar on 2025-11-16. A victim was contacted through a fraudulent investment offer and transferred money.,1
C045,Bajaj Nagar Public Place Assault,Assault,The complainant reported an assault following a dispute near a market.,Bajaj Nagar,2025-11-23,"assault, bajaj nagar, investigation, evidence",Recovered object; Medical report; Witness statement,3,Closed,Closed,The complainant reported a assault incident at Bajaj Nagar on 2025-11-23. The complainant reported an assault following a dispute near a market.,1
C046,Rajendra Nagar Residential Burglary,Burglary,Unknown persons entered a residence during the owner's absence and removed valuables.,Rajendra Nagar,2025-11-30,"burglary, rajendra nagar, investigation, evidence",Fingerprint evidence; CCTV footage; Photographs of entry point,3,Under Investigation,Open,The complainant reported a burglary incident at Rajendra Nagar on 2025-11-30. Unknown persons entered a residence during the owner's absence and removed valuables.,2
C047,Abhyankar Nagar Chain Snatching,Chain Snatching,A gold chain was forcibly taken from a person near a busy road.,Abhyankar Nagar,2025-12-07,"chain snatching, abhyankar nagar, investigation, evidence",CCTV footage,1,Under Investigation,Open,The complainant reported a chain snatching incident at Abhyankar Nagar on 2025-12-07. A gold chain was forcibly taken from a person near a busy road.,3
C048,Old Kamptee Road Online Account Crime,Cybercrime,A fake social media account was created using the victim's information.,Old Kamptee Road,2025-12-14,"cybercrime, old kamptee road, investigation, evidence",Login/activity records; Screenshots; Message or email records,3,Under Investigation,Open,The complainant reported a cybercrime incident at Old Kamptee Road on 2025-12-14. A fake social media account was created using the victim's information.,2
C049,Bezonbagh Mobile Phone Theft,Theft,A mobile phone was reported stolen from a crowded public area.,Bezonbagh,2025-12-21,"theft, bezonbagh, investigation, evidence",Stolen item identification details; Victim statement,2,Under Investigation,Open,The complainant reported a theft incident at Bezonbagh on 2025-12-21. A mobile phone was reported stolen from a crowded public area.,1
C050,Kingsway Motorcycle Theft,Vehicle Theft,A scooter was reported missing from a residential parking area.,Kingsway,2025-12-28,"vehicle theft, kingsway, investigation, evidence",Vehicle tracking record,1,Closed,Closed,The complainant reported a vehicle theft incident at Kingsway on 2025-12-28. A scooter was reported missing from a residential parking area.,0
C051,Omkar Nagar Roadside Robbery,Robbery,An unknown person threatened the complainant and took a bag containing personal belongings.,Omkar Nagar,2026-01-04,"robbery, omkar nagar, investigation, evidence",CCTV footage; Fingerprint examination,2,Under Investigation,Open,The complainant reported a robbery incident at Omkar Nagar on 2026-01-04. An unknown person threatened the complainant and took a bag containing personal belongings.,1
C052,Kharbi Online Payment Fraud,Fraud,A victim was deceived through a fake online payment request and lost money.,Kharbi,2026-01-11,"fraud, kharbi, investigation, evidence",No evidence logged yet,0,Under Investigation,Open,The complainant reported a fraud incident at Kharbi on 2026-01-11. A victim was deceived through a fake online payment request and lost money.,2
C053,Hudkeshwar Public Place Assault,Assault,A physical confrontation occurred near a public place and resulted in minor injuries.,Hudkeshwar,2026-01-18,"assault, hudkeshwar, investigation, evidence",Recovered object,1,Under Investigation,Open,The complainant reported a assault incident at Hudkeshwar on 2026-01-18. A physical confrontation occurred near a public place and resulted in minor injuries.,2
C054,Dattawadi Residential Burglary,Burglary,A residential property was entered without permission and household items were stolen.,Dattawadi,2026-01-25,"burglary, dattawadi, investigation, evidence",Photographs of entry point; Recovered property details; Footprint examination; Neighbour statement; CCTV footage; Fingerprint evidence,6,Under Investigation,Open,The complainant reported a burglary incident at Dattawadi on 2026-01-25. A residential property was entered without permission and household items were stolen.,2
C055,Reshimbagh Chain Snatching,Chain Snatching,A pedestrian reported that an unknown motorcycle rider snatched a chain.,Reshimbagh,2026-02-01,"chain snatching, reshimbagh, investigation, evidence",CCTV footage; Victim statement; Recovered chain photograph; Eyewitness statement; Nearby traffic-camera image,5,Closed,Critical,The complainant reported a chain snatching incident at Reshimbagh on 2026-02-01. A pedestrian reported that an unknown motorcycle rider snatched a chain.,0
C056,Somwarpet Online Account Crime,Cybercrime,A fraudulent link was used to obtain personal or banking information.,Somwarpet,2026-02-08,"cybercrime, somwarpet, investigation, evidence",Screenshots; Message or email records,2,Under Investigation,Open,The complainant reported a cybercrime incident at Somwarpet on 2026-02-08. A fraudulent link was used to obtain personal or banking information.,1
C057,Clark Town Mobile Phone Theft,Theft,A wallet containing cash and identification documents was reported stolen.,Clark Town,2026-02-15,"theft, clark town, investigation, evidence",CCTV footage; Stolen item identification details,2,Under Investigation,Open,The complainant reported a theft incident at Clark Town on 2026-02-15. A wallet containing cash and identification documents was reported stolen.,1
C058,Teka Naka Motorcycle Theft,Vehicle Theft,A motorcycle was reported stolen from a parking area during evening hours.,Teka Naka,2026-02-22,"vehicle theft, teka naka, investigation, evidence",CCTV footage; Parking-area witness statement; Recovered vehicle photograph,3,Under Investigation,Open,The complainant reported a vehicle theft incident at Teka Naka on 2026-02-22. A motorcycle was reported stolen from a parking area during evening hours.,1
C059,Wardhaman Nagar Roadside Robbery,Robbery,A person was threatened and their wallet was taken near a roadside location.,Wardhaman Nagar,2026-03-01,"robbery, wardhaman nagar, investigation, evidence",Victim statement; CCTV footage; Recovered personal item; Eyewitness statement; Fingerprint examination,5,Under Investigation,Open,The complainant reported a robbery incident at Wardhaman Nagar on 2026-03-01. A person was threatened and their wallet was taken near a roadside location.,1
C060,Empress City Online Payment Fraud,Fraud,A victim was deceived by a fake customer-care representative and made a payment.,Empress City,2026-03-08,"fraud, empress city, investigation, evidence",Email or chat records; Screenshots of messages,2,Closed,Closed,The complainant reported a fraud incident at Empress City on 2026-03-08. A victim was deceived by a fake customer-care representative and made a payment.,1
C061,Variety Square Public Place Assault,Assault,An individual reported being physically assaulted following an argument.,Variety Square,2026-03-15,"assault, variety square, investigation, evidence",Medical report; Photographs of injuries,2,Under Investigation,Open,The complainant reported a assault incident at Variety Square on 2026-03-15. An individual reported being physically assaulted following an argument.,1
C062,Hingna Residential Burglary,Burglary,A house was entered through a rear door and electronic items were reported missing.,Hingna,2026-03-22,"burglary, hingna, investigation, evidence",Fingerprint evidence; Neighbour statement; CCTV footage,3,Under Investigation,Open,The complainant reported a burglary incident at Hingna on 2026-03-22. A house was entered through a rear door and electronic items were reported missing.,1
C063,Besa Pipla Chain Snatching,Chain Snatching,An unknown person snatched a chain while passing the pedestrian.,Besa Pipla,2026-03-29,"chain snatching, besa pipla, investigation, evidence",Recovered chain photograph; Victim statement; CCTV footage,3,Under Investigation,Open,The complainant reported a chain snatching incident at Besa Pipla on 2026-03-29. An unknown person snatched a chain while passing the pedestrian.,1
C064,Chinchbhavan Online Account Crime,Cybercrime,A victim reported unauthorized access to an online account.,Chinchbhavan,2026-04-05,"cybercrime, chinchbhavan, investigation, evidence",Transaction records; Victim statement,2,Under Investigation,Open,The complainant reported a cybercrime incident at Chinchbhavan on 2026-04-05. A victim reported unauthorized access to an online account.,0
C065,Kalmana Mobile Phone Theft,Theft,A laptop bag containing electronic items was reported missing from a workplace.,Kalmana,2026-04-12,"theft, kalmana, investigation, evidence",Witness statement,1,Closed,Closed,The complainant reported a theft incident at Kalmana on 2026-04-12. A laptop bag containing electronic items was reported missing from a workplace.,1
C066,Kamptee Motorcycle Theft,Vehicle Theft,A motorcycle was stolen from outside a commercial building.,Kamptee,2026-04-19,"vehicle theft, kamptee, investigation, evidence",Recovered vehicle photograph; CCTV footage; Parking-area witness statement; Vehicle registration details,4,Under Investigation,Critical,The complainant reported a vehicle theft incident at Kamptee on 2026-04-19. A motorcycle was stolen from outside a commercial building.,1
C067,Koradi Roadside Robbery,Robbery,An individual reported being threatened by an unknown person who took a mobile phone.,Koradi,2026-04-26,"robbery, koradi, investigation, evidence",CCTV footage; Victim statement,2,Under Investigation,Open,The complainant reported a robbery incident at Koradi on 2026-04-26. An individual reported being threatened by an unknown person who took a mobile phone.,1
C068,Wathoda Online Payment Fraud,Fraud,A victim was contacted through a fraudulent investment offer and transferred money.,Wathoda,2026-05-03,"fraud, wathoda, investigation, evidence",Victim statement; Screenshots of messages; Bank statement; Email or chat records; Transaction record,5,Under Investigation,Open,The complainant reported a fraud incident at Wathoda on 2026-05-03. A victim was contacted through a fraudulent investment offer and transferred money.,1
C069,Nandanvan Extension Public Place Assault,Assault,The complainant reported an assault following a dispute near a market.,Nandanvan Extension,2026-05-10,"assault, nandanvan extension, investigation, evidence",Photographs of injuries; Recovered object,2,Under Investigation,Open,The complainant reported a assault incident at Nandanvan Extension on 2026-05-10. The complainant reported an assault following a dispute near a market.,1
C070,Pachpaoli Residential Burglary,Burglary,Unknown persons entered a residence during the owner's absence and removed valuables.,Pachpaoli,2026-05-17,"burglary, pachpaoli, investigation, evidence",Recovered property details; Neighbour statement; Photographs of entry point; CCTV footage,4,Closed,Closed,The complainant reported a burglary incident at Pachpaoli on 2026-05-17. Unknown persons entered a residence during the owner's absence and removed valuables.,1
C071,Dighori Chain Snatching,Chain Snatching,A gold chain was forcibly taken from a person near a busy road.,Dighori,2026-05-24,"chain snatching, dighori, investigation, evidence",CCTV footage; Victim statement; Recovered chain photograph,3,Under Investigation,Open,The complainant reported a chain snatching incident at Dighori on 2026-05-24. A gold chain was forcibly taken from a person near a busy road.,2
C072,Ujwal Nagar Online Account Crime,Cybercrime,A fake social media account was created using the victim's information.,Ujwal Nagar,2026-05-31,"cybercrime, ujwal nagar, investigation, evidence",Screenshots; Message or email records; IP/session information,3,Under Investigation,Open,The complainant reported a cybercrime incident at Ujwal Nagar on 2026-05-31. A fake social media account was created using the victim's information.,1
C073,Ravi Nagar Mobile Phone Theft,Theft,A mobile phone was reported stolen from a crowded public area.,Ravi Nagar,2026-06-07,"theft, ravi nagar, investigation, evidence",CCTV footage,1,Under Investigation,Open,The complainant reported a theft incident at Ravi Nagar on 2026-06-07. A mobile phone was reported stolen from a crowded public area.,2
C074,Vishnu Nagar Motorcycle Theft,Vehicle Theft,A scooter was reported missing from a residential parking area.,Vishnu Nagar,2026-06-14,"vehicle theft, vishnu nagar, investigation, evidence",Recovered vehicle photograph; Parking-area witness statement; Vehicle tracking record,3,Under Investigation,Open,The complainant reported a vehicle theft incident at Vishnu Nagar on 2026-06-14. A scooter was reported missing from a residential parking area.,0
C075,Bardi Roadside Robbery,Robbery,An unknown person threatened the complainant and took a bag containing personal belongings.,Bardi,2026-06-21,"robbery, bardi, investigation, evidence",Fingerprint examination; Victim statement; Eyewitness statement,3,Closed,Closed,The complainant reported a robbery incident at Bardi on 2026-06-21. An unknown person threatened the complainant and took a bag containing personal belongings.,1
C076,Gittikhadan Online Payment Fraud,Fraud,A victim was deceived through a fake online payment request and lost money.,Gittikhadan,2026-06-28,"fraud, gittikhadan, investigation, evidence",Bank statement; Victim statement; Screenshots of messages,3,Under Investigation,Open,The complainant reported a fraud incident at Gittikhadan on 2026-06-28. A victim was deceived through a fake online payment request and lost money.,1
C077,Gorewada Public Place Assault,Assault,A physical confrontation occurred near a public place and resulted in minor injuries.,Gorewada,2026-07-05,"assault, gorewada, investigation, evidence",Medical report; Recovered object; Photographs of injuries,3,Under Investigation,Critical,The complainant reported a assault incident at Gorewada on 2026-07-05. A physical confrontation occurred near a public place and resulted in minor injuries.,1
C078,Mominpura Extension Residential Burglary,Burglary,A residential property was entered without permission and household items were stolen.,Mominpura Extension,2026-07-12,"burglary, mominpura extension, investigation, evidence",Footprint examination; Fingerprint evidence,2,Under Investigation,Open,The complainant reported a burglary incident at Mominpura Extension on 2026-07-12. A residential property was entered without permission and household items were stolen.,2
C079,Beltarodi Chain Snatching,Chain Snatching,A pedestrian reported that an unknown motorcycle rider snatched a chain.,Beltarodi,2026-07-19,"chain snatching, beltarodi, investigation, evidence",No evidence logged yet,0,Under Investigation,Open,The complainant reported a chain snatching incident at Beltarodi on 2026-07-19. A pedestrian reported that an unknown motorcycle rider snatched a chain.,1
C080,Manewada Extension Online Account Crime,Cybercrime,A fraudulent link was used to obtain personal or banking information.,Manewada Extension,2026-07-26,"cybercrime, manewada extension, investigation, evidence",Transaction records; Victim statement; Message or email records,3,Closed,Closed,The complainant reported a cybercrime incident at Manewada Extension on 2026-07-26. A fraudulent link was used to obtain personal or banking information.,2
C081,Hudkeshwar Road Mobile Phone Theft,Theft,A wallet containing cash and identification documents was reported stolen.,Hudkeshwar Road,2026-08-02,"theft, hudkeshwar road, investigation, evidence",Victim statement; Stolen item identification details; Nearby camera still image,3,Under Investigation,Open,The complainant reported a theft incident at Hudkeshwar Road on 2026-08-02. A wallet containing cash and identification documents was reported stolen.,1
C082,Kharbi Road Motorcycle Theft,Vehicle Theft,A motorcycle was reported stolen from a parking area during evening hours.,Kharbi Road,2026-08-09,"vehicle theft, kharbi road, investigation, evidence",Recovered vehicle photograph; CCTV footage; Vehicle registration details; Vehicle tracking record,4,Under Investigation,Open,The complainant reported a vehicle theft incident at Kharbi Road on 2026-08-09. A motorcycle was reported stolen from a parking area during evening hours.,1
C083,Khamla Square Roadside Robbery,Robbery,A person was threatened and their wallet was taken near a roadside location.,Khamla Square,2026-08-16,"robbery, khamla square, investigation, evidence",Fingerprint examination; Victim statement,2,Under Investigation,Open,The complainant reported a robbery incident at Khamla Square on 2026-08-16. A person was threatened and their wallet was taken near a roadside location.,1
